text,Username,Timestamp
"@ProjectLincoln Just a friendly reminder : Trump claimed 3,000,000 illegal votes in 2016. He created a GOP-led pane… https://t.co/xh1gJX48VA",paola_zol,Wed Jun 23 09:38:38 +0000 2021
"RT @_AliadosBrasil: Donald Trump adverte: 'Parem de vacinar os jovens'.
#Trump
https://t.co/xuzE8ICZJO",BragaCalcagno,Wed Jun 23 09:38:38 +0000 2021
"RT @StefanAntonino: #2024orBefore

Trump Releases Statement Calling Out 'Very Fraudulent Election,' Then Teases '2024 or Before!' https://t…",USAF_Veteran1,Wed Jun 23 09:38:38 +0000 2021
RT @PattyArquette: Pathetic. Abuse of power. Trump asked Justice to look into SNL: report https://t.co/OMAYdUhYPz,chiaxiong,Wed Jun 23 09:38:38 +0000 2021
"RT @DavidJHarrisJr: 'Stay Tuned!'
https://t.co/SJvgbjGgsf",1_Patroit,Wed Jun 23 09:38:39 +0000 2021
"RT @SteveRustad1: Why are these scheming MAGA traitors still in Congress???

Prosecute them.

Every damn one of them.

Craven assholes. 

#…",NeverTr95218328,Wed Jun 23 09:38:39 +0000 2021
"@JohnWDean @UROCKlive1 Trump was Nixon playbook Pt 2, no question. All things considered, maybe  worse than Nixon?",katedevil,Wed Jun 23 09:38:40 +0000 2021
RT @Breaking911: BREAKING: Biden Administration to give another chance to thousands denied asylum under Trump-era policy that forced them t…,yoshyohe,Wed Jun 23 09:38:40 +0000 2021
"@AaronBlake @gtconway3d Then, typically trump claims it was his great genes, even wanting to wear a superman t shir… https://t.co/9iwNCawxr4",stevepo42890655,Wed Jun 23 09:38:40 +0000 2021
"RT @hale_razor: Number of Democratic roll-call filibusters in Trump's term alone: 314

Number of roll-call filibusters faced by ALL OTHER U…",Arbara0728B,Wed Jun 23 09:38:40 +0000 2021
Trump did not take the virus seriously.,oldlife,Wed Jun 23 09:38:41 +0000 2021
RT @joncoopertweets: Donald Trump will go down in history as the first American president to have willingly betrayed his own country in ser…,BinSherajee,Wed Jun 23 09:38:41 +0000 2021
